ADM2_EN,school_count
Abim,0
Adjumani,0
Agago,0
Alebtong,0
Amolatar,0
Amudat,0
Amuria,0
Amuru,0
Apac,0
Arua,0
Budaka,0
Bududa,0
Bugiri,0
Bugweri,0
Buhweju,0
Buikwe,0
Bukedea,0
Bukomansimbi,0
Bukwo,0
Bulambuli,0
Buliisa,0
Bundibugyo,0
Bunyangabu,0
Bushenyi,0
Busia,0
Butaleja,0
Butambala,0
Butebo,0
Buvuma,0
Buyende,0
Dokolo,0
Gomba,0
Gulu,1
Hoima,0
Ibanda,0
Iganga,0
Isingiro,0
Jinja,1
Kaabong,0
Kabale,0
Kabarole,0
Kaberamaido,0
Kagadi,0
Kakumiro,0
Kalaki,0
Kalangala,0
Kaliro,0
Kalungu,0
Kampala,4
Kamuli,0
Kamwenge,0
Kanungu,0
Kapchorwa,0
Kapelebyong,0
Karenga,0
Kasese,0
Kassanda,0
Katakwi,0
Kayunga,0
Kazo,0
Kibaale,0
Kiboga,0
Kibuku,0
Kikuube,0
Kiruhura,0
Kiryandongo,0
Kisoro,0
Kitagwenda,0
Kitgum,0
Koboko,0
Kole,0
Kotido,0
Kumi,0
Kwania,0
Kween,0
Kyankwanzi,0
Kyegegwa,0
Kyenjojo,0
Kyotera,0
Lamwo,0
Lira,0
Luuka,0
Luwero,0
Lwengo,0
Lyantonde,0
Madi Okollo,0
Manafwa,0
Maracha,0
Masaka,0
Masindi,0
Mayuge,0
Mbale,0
Mbarara,0
Mitooma,0
Mityana,0
Moroto,0
Moyo,0
Mpigi,0
Mubende,0
Mukono,0
Nabilatuk,0
Nakapiripirit,0
Nakaseke,0
Nakasongola,0
Namayingo,0
Namisindwa,0
Namutumba,0
Napak,0
Nebbi,0
Ngora,0
Ntoroko,0
Ntungamo,0
Nwoya,0
Obongi,0
Omoro,0
Otuke,0
Oyam,0
Pader,0
Pakwach,0
Pallisa,0
Rakai,0
Rubanda,0
Rubirizi,0
Rukiga,0
Rukungiri,0
Rwampara,0
Serere,0
Sheema,0
Sironko,0
Soroti,0
Ssembabule,0
Tororo,0
Wakiso,2
Yumbe,0
Zombo,0
